contrast,role,layer,run_id,arch,recipe_actual,scope,decides,n_images,mean_nats,ci_lo,ci_hi,excludes_zero,direction,delta_top1_points,frac_positive,verdict,verdict_reason,branch,branch_text,c2_note,definition,bootstrap_resamples,bootstrap_seed,split_sha256,permutations_sha256,ckpt_sha256,git_sha
C2,primary,7,e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,1,10000,-7.828054534e-05,-0.000193263652,3.665182438e-05,0,-,-0.013,0.4018,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00041843940964294565, -0.00012661741539044308), 'e2r_vits_mixup_saga_s2': (-0.0001932636520271208, 3.665182437654565e-05)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - mean_k nll(ringperm k) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
C2,primary,7,e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,0,10000,-6.714320735e-05,-0.0002046871745,7.047699279e-05,0,-,-0.015,0.4948,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00041843940964294565, -0.00012661741539044308), 'e2r_vits_mixup_saga_s2': (-0.0001932636520271208, 3.665182437654565e-05)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - mean_k nll(ringperm k) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
C2,primary,7,e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,0,10000,0.0001051650549,-2.582531977e-05,0.0002342631546,0,+,0.008,0.5117,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00041843940964294565, -0.00012661741539044308), 'e2r_vits_mixup_saga_s2': (-0.0001932636520271208, 3.665182437654565e-05)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - mean_k nll(ringperm k) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
C2,primary,7,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,0,10000,-4.42385013e-05,-0.0001345751785,4.532403122e-05,0,-,0.017,0.5021,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00041843940964294565, -0.00012661741539044308), 'e2r_vits_mixup_saga_s2': (-0.0001932636520271208, 3.665182437654565e-05)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - mean_k nll(ringperm k) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
C2,primary,7,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,legacy,0,10000,-4.070913265e-05,-0.0001368561985,5.275521406e-05,0,-,0.009,0.418,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00041843940964294565, -0.00012661741539044308), 'e2r_vits_mixup_saga_s2': (-0.0001932636520271208, 3.665182437654565e-05)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - mean_k nll(ringperm k) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,e9bc99596db9244061bdef4c2b51a387a3eed7af
C2,primary,7,legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,legacy,0,10000,-8.497031759e-05,-0.0002166335721,4.676338081e-05,0,-,-0.003,0.4388,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00041843940964294565, -0.00012661741539044308), 'e2r_vits_mixup_saga_s2': (-0.0001932636520271208, 3.665182437654565e-05)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - mean_k nll(ringperm k) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee,e9bc99596db9244061bdef4c2b51a387a3eed7af
S1,secondary,7,e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,0,10000,0.0001146317165,-0.0001246744827,0.0003448818885,0,+,-0.02,0.4899,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",MISSING,MISSING,MISSING,"mean(nll[mean_L{l}]) - mean(nll[original]), paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
S1,secondary,7,e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,1,10000,7.977596503e-05,-0.0002950083537,0.0004559165043,0,+,-0.06,0.4658,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",MISSING,MISSING,MISSING,"mean(nll[mean_L{l}]) - mean(nll[original]), paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
S1,secondary,7,e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,1,10000,-0.0001440134833,-0.0004264568923,0.0001376211785,0,-,0.01,0.3991,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",MISSING,MISSING,MISSING,"mean(nll[mean_L{l}]) - mean(nll[original]), paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
S1,secondary,7,e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,0,10000,2.266113786e-05,-0.0002558702238,0.0003046176513,0,+,-0.04,0.4961,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",MISSING,MISSING,MISSING,"mean(nll[mean_L{l}]) - mean(nll[original]), paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
S1,secondary,7,e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,0,10000,-3.862988488e-05,-0.0003190845643,0.0002421028745,0,-,-0.03,0.4941,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",MISSING,MISSING,MISSING,"mean(nll[mean_L{l}]) - mean(nll[original]), paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
S1,secondary,7,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,0,10000,-5.533819981e-05,-0.0002724536242,0.0001657827795,0,-,0.02,0.4883,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",MISSING,MISSING,MISSING,"mean(nll[mean_L{l}]) - mean(nll[original]), paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
S1,secondary,7,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,legacy,0,10000,-0.0003700266639,-0.0005797844125,-0.0001559097384,1,-,0.02,0.4294,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",MISSING,MISSING,MISSING,"mean(nll[mean_L{l}]) - mean(nll[original]), paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,e9bc99596db9244061bdef4c2b51a387a3eed7af
S1,secondary,7,legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,legacy,0,10000,-0.0002734115294,-0.0006024234884,5.624597817e-05,0,-,-0.02,0.4474,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",MISSING,MISSING,MISSING,"mean(nll[mean_L{l}]) - mean(nll[original]), paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee,e9bc99596db9244061bdef4c2b51a387a3eed7af
S2,secondary,7,e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,0,10000,-8.010095538e-05,-0.0001690188817,1.008181876e-05,0,-,0.01657142857,0.4662,negative,direction - in both fresh checkpoints and both bootstrap CIs exclude zero,MISSING,MISSING,MISSING,"mean_i[ mean_k nll(perm k) - mean_t nll(dihedral t, t != 0) ], paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
S2,secondary,7,e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,1,10000,-0.0003682598044,-0.0005220960648,-0.0002125384092,1,-,-0.02028571429,0.4361,negative,direction - in both fresh checkpoints and both bootstrap CIs exclude zero,MISSING,MISSING,MISSING,"mean_i[ mean_k nll(perm k) - mean_t nll(dihedral t, t != 0) ], paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
S2,secondary,7,e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,1,10000,-0.0001774101891,-0.0002941865648,-5.866795817e-05,1,-,-0.01185714286,0.3621,negative,direction - in both fresh checkpoints and both bootstrap CIs exclude zero,MISSING,MISSING,MISSING,"mean_i[ mean_k nll(perm k) - mean_t nll(dihedral t, t != 0) ], paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
S2,secondary,7,e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,0,10000,-8.133461775e-05,-0.0002304603696,6.841646678e-05,0,-,-0.007285714286,0.4902,negative,direction - in both fresh checkpoints and both bootstrap CIs exclude zero,MISSING,MISSING,MISSING,"mean_i[ mean_k nll(perm k) - mean_t nll(dihedral t, t != 0) ], paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
S2,secondary,7,e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,0,10000,3.364926149e-05,-0.0001071360851,0.000175232784,0,+,0.003428571429,0.5009,negative,direction - in both fresh checkpoints and both bootstrap CIs exclude zero,MISSING,MISSING,MISSING,"mean_i[ mean_k nll(perm k) - mean_t nll(dihedral t, t != 0) ], paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
S2,secondary,7,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,0,10000,-5.771847237e-05,-0.0001501389267,3.371678512e-05,0,-,0.007285714286,0.4975,negative,direction - in both fresh checkpoints and both bootstrap CIs exclude zero,MISSING,MISSING,MISSING,"mean_i[ mean_k nll(perm k) - mean_t nll(dihedral t, t != 0) ], paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
S2,secondary,7,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,legacy,0,10000,-7.648166827e-05,-0.0001796877085,2.55741345e-05,0,-,0.007,0.3958,negative,direction - in both fresh checkpoints and both bootstrap CIs exclude zero,MISSING,MISSING,MISSING,"mean_i[ mean_k nll(perm k) - mean_t nll(dihedral t, t != 0) ], paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,e9bc99596db9244061bdef4c2b51a387a3eed7af
S2,secondary,7,legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,legacy,0,10000,-0.0001222073848,-0.000253897766,1.174282084e-05,0,-,-0.007,0.4227,negative,direction - in both fresh checkpoints and both bootstrap CIs exclude zero,MISSING,MISSING,MISSING,"mean_i[ mean_k nll(perm k) - mean_t nll(dihedral t, t != 0) ], paired per image (secondary)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee,e9bc99596db9244061bdef4c2b51a387a3eed7af
C1,primary,8,e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,0,10000,-8.828371353e-05,-0.0001796190512,1.931321936e-06,0,-,-0.004,0.4607,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00023270927557581995, 0.0001268860145136744), 'e2r_vits_mixup_saga_s2': (-0.0005508127355943427, -0.00014929241213435185)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
